Algorithm,DataType,Size,AvgTime(ms)
"Quick Sort","Sorted (Asc)",1000000,11.434000
"Selection Sort","Partially Sorted (10%)",1000,0.164200
"Selection Sort","Partially Sorted (10%)",5000,4.308200
"Selection Sort","Partially Sorted (10%)",10000,15.966400
"Selection Sort","Partially Sorted (10%)",20000,56.974300
"Selection Sort","Partially Sorted (10%)",50000,346.447100
"Selection Sort","Partially Sorted (10%)",100000,1409.741600
"Selection Sort","Random",1000,0.221900
"Selection Sort","Random",5000,4.187600
"Selection Sort","Random",10000,17.120100
"Selection Sort","Random",20000,68.163400
"Selection Sort","Random",50000,385.829800
"Selection Sort","Random",100000,1541.754500
"Selection Sort","Reversed (Desc)",1000,0.280500
"Selection Sort","Reversed (Desc)",5000,4.733000
"Selection Sort","Reversed (Desc)",10000,19.939800
"Selection Sort","Reversed (Desc)",20000,78.011000
"Selection Sort","Reversed (Desc)",50000,471.059200
"Selection Sort","Reversed (Desc)",100000,1923.448300
"Selection Sort","Sorted (Asc)",1000,0.162300
"Selection Sort","Sorted (Asc)",5000,4.042200
"Selection Sort","Sorted (Asc)",10000,15.564600
"Selection Sort","Sorted (Asc)",20000,60.330200
"Selection Sort","Sorted (Asc)",50000,373.000400
"Selection Sort","Sorted (Asc)",100000,1481.413500
"Tim Sort","Partially Sorted (10%)",1000,0.017100
"Tim Sort","Partially Sorted (10%)",5000,0.072700
"Tim Sort","Partially Sorted (10%)",10000,0.155300
"Tim Sort","Partially Sorted (10%)",20000,0.319000
"Tim Sort","Partially Sorted (10%)",50000,0.935800
"Tim Sort","Partially Sorted (10%)",100000,1.818100
"Tim Sort","Partially Sorted (10%)",200000,3.560700
"Tim Sort","Partially Sorted (10%)",500000,10.000100
"Tim Sort","Partially Sorted (10%)",1000000,20.756800
"Tim Sort","Random",1000,0.031200
"Tim Sort","Random",5000,0.395200
"Tim Sort","Random",10000,0.374200
"Tim Sort","Random",20000,0.801200
"Tim Sort","Random",50000,2.196600
"Tim Sort","Random",100000,4.766300
"Tim Sort","Random",200000,10.083800
"Tim Sort","Random",500000,28.091000
"Tim Sort","Random",1000000,60.964300
"Tim Sort","Reversed (Desc)",1000,0.018000
"Tim Sort","Reversed (Desc)",5000,0.070000
"Tim Sort","Reversed (Desc)",10000,0.138000
"Tim Sort","Reversed (Desc)",20000,0.325800
"Tim Sort","Reversed (Desc)",50000,0.767500
"Tim Sort","Reversed (Desc)",100000,1.476400
"Tim Sort","Reversed (Desc)",200000,3.147700
"Tim Sort","Reversed (Desc)",500000,9.602700
"Tim Sort","Reversed (Desc)",1000000,19.027300
"Tim Sort","Sorted (Asc)",1000,0.010400
"Tim Sort","Sorted (Asc)",5000,0.041300
"Tim Sort","Sorted (Asc)",10000,0.400400
"Tim Sort","Sorted (Asc)",20000,0.185600
"Tim Sort","Sorted (Asc)",50000,0.415100
